ZeroMQ Performance Log (Ours) - Transport: IPC+SHM+OURS
==================================================================================================================================
ID    Method               Ser(ms)    Send(ms)   Recv(ms)   Deser(ms)  Comm(ms)     GPU(ms)    Total(ms)    Sent(KB)   Recv(KB)  
93    BatchLinear          0.011      0.022      1.644      0.011      1.694        0.328      1.695        0.12       0.17      
94    Matmul               0.010      0.023      1.813      0.009      1.862        0.121      1.862        0.10       0.09      
95    Matmul               0.012      0.055      1.507      0.008      1.588        0.113      1.588        0.10       0.09      
96    BatchLinear          0.011      0.031      1.142      0.009      1.199        0.186      1.199        0.11       0.09      
97    BatchLinear          0.011      0.025      2.944      0.010      2.996        0.257      2.996        0.12       0.13      
98    BatchLinear          0.011      0.023      2.011      0.009      2.061        0.213      2.062        0.11       0.09      
99    LMHead               0.019      0.046      1.355      0.009      1.436        0.000      1.437        0.07       0.07      
1     Embedding            0.008      0.020      0.927      0.010      0.971        0.000      0.972        0.07       0.07      
2     BatchLinear          0.014      0.025      2.103      0.013      2.164        0.398      2.165        0.12       0.17      
3     Matmul               0.011      0.028      1.904      0.010      1.959        0.151      1.960        0.10       0.09      
4     Matmul               0.012      0.023      1.758      0.009      1.809        0.139      1.809        0.10       0.09      
5     BatchLinear          0.012      0.025      1.162      0.009      1.212        0.222      1.212        0.11       0.09      
6     BatchLinear          0.012      0.024      3.144      0.021      3.205        0.299      3.205        0.12       0.13      
7     BatchLinear          0.019      0.037      2.352      0.011      2.423        0.319      2.424        0.11       0.09      
8     BatchLinear          0.012      0.027      1.770      0.009      1.823        0.367      1.823        0.12       0.17      
9     Matmul               0.010      0.024      31.457     0.008      31.505       0.183      31.505       0.10       0.09      
10    Matmul               0.011      0.027      27.384     0.009      27.436       0.119      27.437       0.10       0.09      
11    BatchLinear          0.013      0.027      1.502      0.009      1.556        0.239      1.557        0.11       0.09      
12    BatchLinear          0.013      0.023      3.189      0.009      3.238        0.451      3.238        0.12       0.13      
13    BatchLinear          0.016      0.042      2.024      0.010      2.096        0.208      2.096        0.11       0.09      
14    BatchLinear          0.012      0.025      1.670      0.010      1.721        0.291      1.721        0.12       0.17      
15    Matmul               0.010      0.023      1.640      0.007      1.684        0.117      1.684        0.10       0.09      
16    Matmul               0.010      0.019      1.535      0.007      1.575        0.101      1.575        0.10       0.09      
17    BatchLinear          0.009      0.018      1.123      0.006      1.159        0.189      1.160        0.11       0.09      
18    BatchLinear          0.011      0.020      3.811      0.016      3.861        0.278      3.862        0.12       0.13      
19    BatchLinear          0.016      0.034      2.756      0.011      2.821        0.199      2.821        0.11       0.09      
20    BatchLinear          0.012      0.025      2.592      0.014      2.651        0.345      2.652        0.12       0.17      
21    Matmul               0.018      0.030      1.984      0.010      2.048        0.173      2.049        0.10       0.09      
