ZeroMQ Performance Log (OTP) - Transport: IPC+SHM+OTP
==================================================================================================================================
ID    Method               Ser(ms)    Send(ms)   Recv(ms)   Deser(ms)  Comm(ms)     GPU(ms)    Total(ms)    Sent(KB)   Recv(KB)  
37    BatchLinear          0.039      0.067      5.658      0.026      5.800        0.552      5.800        0.11       0.09      
38    BatchLinear          0.031      0.060      7.433      0.040      7.574        0.689      7.575        0.12       0.17      
39    Matmul               0.030      0.057      8.986      0.020      9.106        0.339      9.106        0.10       0.09      
40    Matmul               0.023      0.040      7.380      0.017      7.472        0.293      7.472        0.10       0.09      
41    BatchLinear          0.026      0.047      3.105      0.015      3.200        0.439      3.201        0.11       0.09      
42    BatchLinear          0.033      0.062      7.673      0.021      7.796        0.550      7.797        0.12       0.13      
43    BatchLinear          0.037      0.063      5.130      0.033      5.286        0.547      5.287        0.11       0.09      
44    BatchLinear          0.034      0.062      4.573      0.025      4.702        0.759      4.703        0.12       0.17      
45    Matmul               0.031      0.058      9.093      0.022      9.219        0.345      9.220        0.10       0.09      
46    Matmul               0.026      0.044      7.349      0.018      7.464        0.289      7.464        0.10       0.09      
47    BatchLinear          0.024      0.045      3.182      0.016      3.273        0.413      3.273        0.11       0.09      
48    BatchLinear          0.034      0.069      29.498     0.031      29.651       0.515      29.652       0.12       0.13      
49    BatchLinear          0.037      0.074      25.977     0.035      26.143       0.549      26.144       0.11       0.09      
50    BatchLinear          0.030      0.055      8.298      0.038      8.444        0.603      8.444        0.12       0.17      
51    Matmul               0.030      0.056      8.506      0.020      8.626        0.287      8.626        0.10       0.09      
52    Matmul               0.022      0.048      7.134      0.016      7.229        0.265      7.230        0.10       0.09      
53    BatchLinear          0.022      0.042      3.750      0.017      3.840        0.429      3.840        0.11       0.09      
54    BatchLinear          0.032      0.064      12.544     0.026      12.677       0.543      12.678       0.12       0.13      
55    BatchLinear          0.035      0.057      5.414      0.028      5.551        0.559      5.551        0.11       0.09      
56    BatchLinear          0.025      0.047      4.513      0.029      4.627        0.777      4.627        0.12       0.17      
57    Matmul               0.024      0.043      9.019      0.027      9.129        0.358      9.129        0.10       0.09      
58    Matmul               0.034      0.041      7.339      0.025      7.454        0.307      7.454        0.10       0.09      
59    BatchLinear          0.033      0.042      3.143      0.020      3.250        0.422      3.250        0.11       0.09      
60    BatchLinear          0.032      0.054      6.916      0.026      7.037        0.535      7.037        0.12       0.13      
61    BatchLinear          0.034      0.059      5.182      0.032      5.325        0.539      5.326        0.11       0.09      
62    BatchLinear          0.027      0.052      7.485      0.040      7.621        0.701      7.622        0.12       0.17      
63    Matmul               0.029      0.044      9.340      0.022      9.448        0.333      9.449        0.10       0.09      
64    Matmul               0.022      0.037      7.291      0.027      7.392        0.292      7.393        0.10       0.09      
65    BatchLinear          0.023      0.043      2.897      0.025      3.002        0.401      3.002        0.11       0.09      
66    BatchLinear          0.057      0.077      6.790      0.031      6.968        0.546      6.969        0.12       0.13      
67    BatchLinear          0.034      0.067      4.778      0.032      4.928        0.485      4.928        0.11       0.09      
68    BatchLinear          0.026      0.047      4.426      0.059      4.575        0.709      4.576        0.12       0.17      
69    Matmul               0.024      0.041      9.168      0.032      9.284        0.335      9.284        0.10       0.09      
70    Matmul               0.023      0.041      7.321      0.033      7.431        0.290      7.431        0.10       0.09      
71    BatchLinear          0.027      0.049      4.189      0.015      4.287        0.406      4.288        0.11       0.09      
72    BatchLinear          0.033      0.086      7.183      0.032      7.355        0.550      7.356        0.12       0.13      
73    BatchLinear          0.037      0.066      5.614      0.023      5.751        0.492      5.751        0.11       0.09      
74    BatchLinear          0.032      0.059      4.388      0.024      4.511        0.684      4.512        0.12       0.17      
75    Matmul               0.029      0.056      9.550      0.020      9.669        0.357      9.669        0.10       0.09      
76    Matmul               0.025      0.043      7.529      0.030      7.639        0.288      7.640        0.10       0.09      
77    BatchLinear          0.026      0.057      3.081      0.016      3.187        0.424      3.188        0.11       0.09      
78    BatchLinear          0.032      0.060      6.821      0.024      6.948        0.553      6.949        0.12       0.13      
79    BatchLinear          0.038      0.062      5.864      0.024      5.999        0.500      6.000        0.11       0.09      
80    BatchLinear          0.033      0.057      4.704      0.024      4.826        0.763      4.827        0.12       0.17      
81    Matmul               0.028      0.052      9.224      0.022      9.341        0.342      9.341        0.10       0.09      
82    Matmul               0.024      0.044      7.402      0.018      7.502        0.308      7.502        0.10       0.09      
83    BatchLinear          0.026      0.046      2.855      0.015      2.949        0.400      2.949        0.11       0.09      
84    BatchLinear          0.034      0.076      6.443      0.023      6.586        0.483      6.587        0.12       0.13      
85    BatchLinear          0.039      0.063      5.891      0.023      6.026        0.518      6.027        0.11       0.09      
86    BatchLinear          0.033      0.059      4.409      0.024      4.550        0.708      4.550        0.12       0.17      
87    Matmul               0.027      0.054      9.460      0.022      9.579        0.333      9.579        0.10       0.09      
88    Matmul               0.027      0.043      7.266      0.018      7.366        0.280      7.366        0.10       0.09      
89    BatchLinear          0.026      0.046      18.470     0.022      18.580       0.426      18.581       0.11       0.09      
90    BatchLinear          0.034      0.070      7.335      0.024      7.472        0.567      7.473        0.12       0.13      
91    BatchLinear          0.039      0.066      21.160     0.029      21.309       0.555      21.310       0.11       0.09      
92    BatchLinear          0.025      0.045      4.727      0.031      4.842        0.694      4.843        0.12       0.17      
93    Matmul               0.022      0.050      8.552      0.024      8.663        0.295      8.664        0.10       0.09      
94    Matmul               0.019      0.038      7.366      0.023      7.460        0.282      7.461        0.10       0.09      
95    BatchLinear          0.024      0.042      11.228     0.025      11.335       0.429      11.336       0.11       0.09      
96    BatchLinear          0.031      0.065      7.289      0.034      7.434        0.588      7.435        0.12       0.13      
97    BatchLinear          0.034      0.056      5.187      0.031      5.324        0.594      5.324        0.11       0.09      
98    LMHead               0.015      0.035      1.973      0.010      2.040        0.000      2.040        0.07       0.07      

========================================================================================================================
SUMMARY (OTP Encryption)
========================================================================================================================
Total RPC Calls: 98

Prefill Wall-Clock Time:
  Total: 10.3433 s

Communication Time:
  Total: 0.8757 s (8.935 ms/call)

GPU Computation Time:
  Total: 0.0438 s (0.447 ms/call)

TEE Computation Time (Prefill - GPU - Comm):
  Total: 9.4238 s (96.161 ms/call)

Operation Statistics:
  Linear (count=112):
    Avg Total: 81.057 ms
    Avg TEE:   76.372 ms
    Avg GPU:   0.308 ms
    Avg Comm:  4.378 ms
  Matmul (count=32):
    Avg Total: 33.268 ms
    Avg TEE:   21.151 ms
    Avg GPU:   0.292 ms
    Avg Comm:  11.824 ms
========================================================================================================================
