ZeroMQ Performance Log - Transport: IPC+SHM
========================================================================================================================
ID    Method               Ser(ms)    Send(ms)   Recv(ms)   Deser(ms)  Comm(ms)     GPU(ms)    Total(ms)    Sent(KB)   Recv(KB)  
17    BatchLinear          0.035      0.053      18.748     0.022      18.871       0.494      18.871       0.11       0.09      
18    BatchLinear          0.027      0.055      227.839    18.037     245.979      0.774      245.980      0.12       32768.15  
19    BatchLinear          31.937     15.265     48.060     0.029      95.318       0.597      95.319       16384.12   0.09      
20    BatchLinear          0.037      0.071      17.622     0.028      17.777       0.762      17.778       0.12       0.17      
21    Matmul               0.031      0.068      535.955    66.500     602.576      0.321      602.577      0.10       65536.10  
22    Matmul               126.613    61.453     362.960    0.029      551.078      0.337      551.079      65536.11   0.09      
23    BatchLinear          0.031      0.060      18.213     0.025      18.345       0.517      18.346       0.11       0.09      
24    BatchLinear          0.032      0.063      229.332    30.964     260.412      0.712      260.413      0.12       32768.15  
25    BatchLinear          32.097     15.255     47.154     0.028      94.559       0.585      94.559       16384.12   0.09      
26    BatchLinear          0.031      0.060      17.025     0.026      17.158       0.619      17.159       0.12       0.17      
27    Matmul               0.031      0.066      533.100    64.156     597.374      0.331      597.374      0.10       65536.10  
28    Matmul               126.096    61.420     365.025    0.035      552.605      0.340      552.606      65536.11   0.09      
29    BatchLinear          0.030      0.068      20.168     0.025      20.311       0.540      20.311       0.11       0.09      
30    BatchLinear          0.025      0.053      229.417    30.925     260.438      0.690      260.439      0.12       32768.15  
31    BatchLinear          31.867     15.334     45.517     0.033      92.778       0.584      92.779       16384.12   0.09      
32    BatchLinear          0.030      0.059      18.118     0.029      18.256       0.611      18.257       0.12       0.17      
